Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office,BechdelRating
1,2009,Avatar,"$2,845,899,541","$760,507,625","$2,085,391,916",3
2,2019,Avengers: Endgame,"$2,797,800,564","$858,373,000","$1,939,427,564",3
3,1997,Titanic,"$2,207,986,545","$659,363,944","$1,548,622,601",3
5,2018,Avengers: Infinity War,"$2,044,540,523","$678,815,482","$1,365,725,041",3
6,2015,Jurassic World,"$1,669,979,967","$652,306,625","$1,017,673,342",3
8,2015,Furious 7,"$1,516,881,526","$353,007,020","$1,163,874,506",3
11,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111",3
12,2018,Black Panther,"$1,336,494,321","$700,059,566","$636,434,755",3
15,2018,Jurassic World: Fallen Kingdom,"$1,308,334,005","$417,719,760","$890,614,245",3
16,2013,Frozen,"$1,266,648,320","$400,953,009","$865,695,311",3
16,2013,Frozen,"$1,266,648,320","$400,953,009","$865,695,311",3,3
17,2017,Beauty and the Beast,"$1,255,080,655","$504,014,165","$751,066,490",3
18,2018,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615",3
20,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000",3
21,2015,Minions,"$1,159,631,140","$336,045,770","$823,585,370",3
22,2016,Captain America: Civil War,"$1,151,918,521","$408,084,349","$743,834,172",3
23,2018,Aquaman,"$1,143,758,700","$335,061,807","$808,696,893",3
24,2019,Spider-Man: Far From Home,"$1,131,113,066","$390,532,085","$740,580,981",1
25,2019,Captain Marvel,"$1,129,727,388","$426,829,839","$702,897,549",3
26,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536",3
28,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704",3
29,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996",3
31,2019,Toy Story 4,"$1,073,080,329","$434,038,008","$639,042,321",3
33,2019,Joker,"$1,072,507,517","$335,451,311","$737,056,206",3
34,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642",3
37,2019,Aladdin,"$1,046,649,706","$355,559,216","$691,090,490",3
39,1993,Jurassic Park,"$1,045,573,035","$402,523,348","$643,049,687",3
40,2017,Despicable Me 3,"$1,032,596,894","$264,624,300","$767,972,594",3
42,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000",3
43,2016,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564",3
45,2016,Zootopia,"$1,005,304,638","$341,268,248","$664,036,390",3
48,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450",3
50,2017,Jumanji: Welcome to the Jungle,"$961,613,199","$404,508,916","$557,104,283",3
57,2003,Finding Nemo,"$936,094,852","$380,529,370","$555,565,482",1
58,2004,Shrek 2,"$935,253,978","$441,226,247","$494,027,731",3
59,2009,Harry Potter and the Half-Blood Prince,"$930,673,167","$302,089,278","$628,583,889",3
61,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927",2
62,2018,Bohemian Rhapsody,"$891,472,999","$216,303,339","$675,169,660",2
63,2005,Harry Potter and the Goblet of Fire,"$891,320,084","$290,201,752","$601,118,332",1
65,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705","$690,113,112",1
67,2017,Spider-Man: Homecoming,"$880,166,350","$334,201,140","$545,965,210",3
68,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294",2
69,2015,Spectre,"$879,500,760","$200,074,175","$679,426,585",1
70,2002,Harry Potter and the Chamber of Secrets,"$876,508,805","$262,233,381","$614,275,424",3
71,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897",2
74,2015,Inside Out,"$855,038,387","$356,461,711","$498,576,676",3
75,2018,Venom,"$853,530,899","$213,511,408","$640,019,491",1
76,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489",1
79,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829",3
82,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000",1
83,2017,Wonder Woman,"$818,058,221","$412,563,408","$405,494,813",3
84,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623",3
85,2016,Fantastic Beasts and Where to Find Them,"$811,724,385","$234,037,575","$577,686,810",3
86,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992",3
87,2019,Jumanji: The Next Level,"$800,128,637","$316,831,246","$483,297,391",1
88,2017,Coco,"$798,237,597","$210,460,015","$587,777,582",3
90,2004,Spider-Man 2,"$794,697,557","$373,524,485","$421,173,072",1
93,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594",3
96,2018,Deadpool 2,"$786,362,370","$324,591,735","$461,770,635",2
97,2016,Deadpool,"$784,157,111","$363,070,709","$421,086,402",1
99,2014,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283",3
102,2019,Fast & Furious Presents: Hobbs & Shaw,"$760,381,706","$173,956,935","$586,424,771",2
103,2014,Maleficent,"$758,536,735","$241,407,328","$517,129,407",3
105,2009,2012,"$757,677,748","$166,112,167","$591,565,581",1
106,2010,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886",1
107,2014,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241",1
109,2016,Suicide Squad,"$746,846,894","$325,100,054","$421,746,840",3
110,2013,Monsters University,"$743,455,810","$268,488,329","$474,967,481",1
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213",3
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213",3,2
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213",3,2,1
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213",3,2,1,1
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213",3,2,1,1,2
114,2010,Inception,"$728,582,465","$292,576,195","$436,006,270",3
115,2019,Liu Lang Di Qiu,"$727,846,450","$5,875,487","$721,970,963",3
117,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931",3
118,2014,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977",1
120,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399",3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3,3,1
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3,3,1,3
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3,3,1,3,0
122,2017,It,"$701,083,042","$328,828,874","$372,254,168",3,3,3,2,3,3,3,3,3,3,1,2,3,1,3,3,1,3,0,1
125,2013,Gravity,"$689,742,192","$274,092,705","$415,649,487",0
129,1994,Forrest Gump,"$679,838,260","$330,151,138","$349,687,122",1
131,2016,Doctor Strange,"$676,354,481","$232,641,920","$443,712,561",1
133,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000",3
134,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484",3
137,2017,Justice League,"$655,945,209","$229,024,295","$426,920,914",3
141,2014,Interstellar,"$651,994,868","$188,017,894","$463,976,974",3
142,2006,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661",1
144,2014,Big Hero 6,"$649,657,407","$222,527,828","$427,129,579",3
146,2013,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376",3
147,2016,Moana,"$635,245,959","$248,757,044","$386,488,915",3
147,2016,Moana,"$635,245,959","$248,757,044","$386,488,915",3,3
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566",3
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566",3,3
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566",3,3,3
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566",3,3,3,3
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566",3,3,3,3,1
149,2008,Kung Fu Panda,"$631,910,531","$215,434,591","$416,475,940",3
151,2011,Fast Five,"$630,163,454","$210,031,325","$420,132,129",3
152,2007,Ratatouille,"$626,549,695","$206,445,654","$420,104,041",1
153,2008,Hancock,"$624,234,272","$227,946,274","$396,287,998",0
154,2018,Ant-Man and the Wasp,"$623,144,660","$216,648,740","$406,495,920",3
156,2010,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058",3
157,2012,Life of Pi,"$619,310,368","$124,987,022","$494,323,346",1
159,2014,How to Train Your Dragon 2,"$614,586,270","$177,002,924","$437,583,346",1
160,2017,Logan,"$614,202,315","$226,277,068","$387,925,247",3
160,2017,Logan,"$614,202,315","$226,277,068","$387,925,247",3,3
161,2005,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181",3
162,2017,Transformers: The Last Knight,"$602,893,340","$130,168,683","$472,724,657",1
163,2008,Mamma Mia!,"$602,891,655","$144,130,063","$458,761,592",3
165,2006,Casino Royale,"$594,420,283","$167,365,000","$427,055,283",1
166,2008,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651",1
167,1997,Men in Black,"$587,790,539","$250,690,539","$337,100,000",1
169,2010,Tangled,"$585,574,317","$200,821,936","$384,752,381",3
170,2007,I am Legend,"$585,532,684","$256,393,010","$329,139,674",3
171,2008,Iron Man,"$585,171,547","$318,604,126","$266,567,421",2
172,2006,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139",3
173,2018,Ready Player One,"$579,055,653","$137,690,172","$441,365,481",3
175,2015,Fifty Shades of Grey,"$570,794,950","$166,167,230","$404,627,720",3
177,2017,Kong: Skull Island,"$561,072,059","$168,052,812","$393,019,247",1
178,2001,"Monsters, Inc.","$560,483,719","$290,149,425","$270,334,294",1
179,2011,Cars 2,"$560,155,383","$191,450,875","$368,704,508",2
180,2005,Madagascar,"$556,559,566","$193,595,521","$362,964,045",0
181,2012,Ted,"$556,016,627","$218,665,740","$337,350,887",1
181,2012,Ted,"$556,016,627","$218,665,740","$337,350,887",1,0
181,2012,Ted,"$556,016,627","$218,665,740","$337,350,887",1,0,2
181,2012,Ted,"$556,016,627","$218,665,740","$337,350,887",1,0,2,2
183,2011,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973",1
184,2012,Brave,"$554,606,532","$237,282,182","$317,324,350",3
185,1998,Armageddon,"$554,600,000","$201,578,182","$353,021,818",1
186,2005,King Kong,"$550,517,357","$218,080,025","$332,437,332",0
189,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000",1
191,2010,Despicable Me,"$543,464,573","$251,513,985","$291,950,588",3
192,2016,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057",3
193,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025",1
194,2015,Cinderella,"$534,551,353","$201,151,353","$333,400,000",3
197,2008,WALL-E,"$532,508,025","$223,808,164","$308,699,861",1
198,2013,World War Z,"$531,861,650","$202,706,711","$329,154,939",3
199,2018,Ralph Breaks The Internet,"$529,290,830","$201,091,711","$328,199,119",3
200,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000",2
207,2016,Kung Fu Panda 3,"$521,170,825","$143,528,619","$377,642,206",3
208,2017,Dunkirk,"$519,452,014","$190,068,280","$329,383,734",0
209,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286",2
210,1990,Ghost,"$517,600,000","$217,631,306","$299,968,694",3
211,2004,Meet the Fockers,"$516,567,575","$279,167,575","$237,400,000",3
214,1999,Toy Story 2,"$511,358,276","$245,852,179","$265,506,097",1
215,1992,Aladdin,"$504,050,219","$217,350,219","$286,700,000",0
216,2009,Sherlock Holmes,"$498,438,212","$209,028,679","$289,409,533",1
217,2012,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844",3
218,1996,Twister,"$495,700,000","$241,688,385","$254,011,615",3
219,2010,How to Train Your Dragon,"$494,870,992","$217,581,232","$277,289,760",3
220,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000",3
